gw,managerid,gw_ftsy_rank,chip,grosspoints,netpoints,event_transfers,event_transfers_cost,points_on_bench,cumul_gross_score,cumul_net_score,squadvalue,bank,value,playerid,playername,playertype,team,short_team,global_own,player_event_points,bonus,minutes,positionid,orig_positionid,final_positionid,autosub,is_captain,capchk,is_vice_captain,multiplier,orig_multiplier,final_multiplier
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,654,Strand Larsen,FWD,Wolves,WOL,1.4,2,0,81,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,1,Raya,GKP,Arsenal,ARS,36.4,10,3,90,1,1,1,UNCH,FALSE,0,TRUE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,477,Livramento,DEF,Newcastle,NEW,1.8,9,3,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,371,Kerkez,DEF,Liverpool,LIV,2.9,0,0,59,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,486,Elanga,MID,Newcastle,NEW,2.6,3,0,77,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,82,Semenyo,MID,Bournemouth,BOU,46.2,15,3,90,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,515,Gibbs-White,MID,Nott'm Forest,NFO,9.2,5,0,83,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,21,Rice,MID,Arsenal,ARS,23.3,6,0,82,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,419,Grealish,MID,Everton,EVE,5.6,1,0,19,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,430,Haaland,FWD,Man City,MCI,62.5,13,3,72,10,10,10,UNCH,TRUE,1,FALSE,2,2,2
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,661,Ekitike,FWD,Liverpool,LIV,15.7,11,2,71,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,469,Pope,GKP,Newcastle,NEW,4.5,9,2,90,12,12,12,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,256,Munoz,DEF,Crystal Palace,CRY,9.2,5,0,90,13,13,13,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,151,Van Hecke,DEF,Brighton,BHA,10.7,2,0,90,14,14,14,UNCH,FALSE,0,FALSE,1,1,1
1,8142824,1,bboost,115,115,0,0,0,115,115,99.5,0.5,100,338,Muniz,FWD,Fulham,FUL,0.7,7,3,24,15,15,15,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,366,A.Becker,GKP,Liverpool,LIV,5.1,1,0,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,224,Cucurella,DEF,Chelsea,CHE,14.6,8,2,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,610,W-Bissaka,DEF,West Ham,WHU,4.3,1,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,151,Van Hecke,DEF,Brighton,BHA,10.7,2,0,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,160,Minteh,MID,Brighton,BHA,2.5,3,0,68,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,382,Wirtz,MID,Liverpool,LIV,8.5,2,0,81,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,381,Salah,MID,Liverpool,LIV,15.2,8,1,90,8,8,8,UNCH,TRUE,1,FALSE,2,2,2
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,362,Piroe,FWD,Leeds,LEE,0.3,2,0,77,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,525,Wood,FWD,Nott'm Forest,NFO,4.7,13,3,78,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,11,11,11,UNCH,FALSE,0,TRUE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,12,12,12,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,402,Ait-Nouri,DEF,Man City,MCI,4.1,9,1,90,13,13,13,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,582,Kudus,MID,Spurs,TOT,9.1,10,1,84,14,14,14,UNCH,FALSE,0,FALSE,1,1,1
1,3244539,3,bboost,83,83,0,0,0,83,83,99,1,100,121,Damsgaard,MID,Brentford,BRE,0.8,0,0,0,15,15,15,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,506,Murillo,DEF,Nott'm Forest,NFO,1.8,2,0,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,508,N.Williams,DEF,Nott'm Forest,NFO,4.2,1,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,381,Salah,MID,Liverpool,LIV,15.2,8,1,90,5,5,5,UNCH,TRUE,1,FALSE,2,2,2
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,6,6,6,UNCH,FALSE,0,TRUE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,427,Reijnders,MID,Man City,MCI,8.9,10,0,90,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,449,Fernandes,MID,Man Utd,MUN,48,2,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,384,Gakpo,MID,Liverpool,LIV,5.6,7,0,90,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,661,Ekitike,FWD,Liverpool,LIV,15.7,11,2,71,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,654,Strand Larsen,FWD,Wolves,WOL,1.4,2,0,81,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,470,Dubravka,GKP,Burnley,BUR,25.7,2,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,317,Andersen,DEF,Fulham,FUL,2.8,2,0,90,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,252,Marc Guiu,FWD,Sunderland,SUN,5.2,0,0,0,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,5093997,19,na,68,68,0,0,5,68,68,100,0,100,191,Esteve,DEF,Burnley,BUR,7,1,0,90,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,139,Verbruggen,GKP,Brighton,BHA,9.3,2,0,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,508,N.Williams,DEF,Nott'm Forest,NFO,4.2,1,0,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,569,Romero,DEF,Spurs,TOT,2.9,6,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,505,Milenkovic,DEF,Nott'm Forest,NFO,3.3,2,0,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,267,Sarr,MID,Crystal Palace,CRY,5.6,3,0,90,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,7,7,7,UNCH,FALSE,0,TRUE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,516,H-Odoi,MID,Nott'm Forest,NFO,0.6,2,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,430,Haaland,FWD,Man City,MCI,62.5,13,3,72,9,9,9,UNCH,TRUE,1,FALSE,2,2,2
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,64,Watkins,FWD,Aston Villa,AVL,13,2,0,90,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,624,Bowen,FWD,West Ham,WHU,17.5,2,0,90,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,242,D-Hall,MID,Everton,EVE,7.9,2,0,90,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,48,Tielemans,MID,Aston Villa,AVL,0.7,3,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,785300,35,na,55,55,0,0,15,55,55,100,0,100,317,Andersen,DEF,Fulham,FUL,2.8,2,0,90,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,507,Aina,DEF,Nott'm Forest,NFO,2.1,4,0,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,370,Frimpong,DEF,Liverpool,LIV,4.9,1,0,59,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,610,W-Bissaka,DEF,West Ham,WHU,4.3,1,0,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,582,Kudus,MID,Spurs,TOT,9.1,10,1,84,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,384,Gakpo,MID,Liverpool,LIV,5.6,7,0,90,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,449,Fernandes,MID,Man Utd,MUN,48,2,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,9,9,9,UNCH,FALSE,0,TRUE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,430,Haaland,FWD,Man City,MCI,62.5,13,3,72,10,10,10,UNCH,TRUE,1,FALSE,2,2,2
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,470,Dubravka,GKP,Burnley,BUR,25.7,2,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,258,Mitchell,DEF,Crystal Palace,CRY,2.3,9,1,90,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,427,Reijnders,MID,Man City,MCI,8.9,10,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,6501155,17,na,70,70,0,0,21,70,70,100,0,100,252,Marc Guiu,FWD,Sunderland,SUN,5.2,0,0,0,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,506,Murillo,DEF,Nott'm Forest,NFO,1.8,2,0,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,317,Andersen,DEF,Fulham,FUL,2.8,2,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,568,P.Porro,DEF,Spurs,TOT,11.7,6,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,381,Salah,MID,Liverpool,LIV,15.2,8,1,90,5,5,5,UNCH,TRUE,1,FALSE,2,2,2
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,6,6,6,UNCH,FALSE,0,TRUE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,449,Fernandes,MID,Man Utd,MUN,48,2,0,90,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,47,Rogers,MID,Aston Villa,AVL,20.2,3,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,242,D-Hall,MID,Everton,EVE,7.9,2,0,90,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,666,Gyokeres,FWD,Arsenal,ARS,16.4,1,0,59,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,470,Dubravka,GKP,Burnley,BUR,25.7,2,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,441,Dorgu,DEF,Man Utd,MUN,2.4,1,0,90,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,191,Esteve,DEF,Burnley,BUR,7,1,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,3649057,48,na,47,47,0,0,4,47,47,100,0,100,252,Marc Guiu,FWD,Sunderland,SUN,5.2,0,0,0,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,1,Raya,GKP,Arsenal,ARS,36.4,10,3,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,402,Ait-Nouri,DEF,Man City,MCI,4.1,9,1,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,5,Gabriel,DEF,Arsenal,ARS,45.4,6,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,224,Cucurella,DEF,Chelsea,CHE,14.6,8,2,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,441,Dorgu,DEF,Man Utd,MUN,2.4,1,0,90,5,15,5,IN,FALSE,0,FALSE,1,0,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,18,Madueke,MID,Arsenal,ARS,0.8,1,0,30,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,384,Gakpo,MID,Liverpool,LIV,5.6,7,0,90,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,119,Mbeumo,MID,Man Utd,MUN,15,2,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,381,Salah,MID,Liverpool,LIV,15.2,8,1,90,9,9,9,UNCH,TRUE,1,FALSE,2,2,2
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,661,Ekitike,FWD,Liverpool,LIV,15.7,11,2,71,10,10,10,UNCH,FALSE,0,TRUE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,101,Kelleher,GKP,Brentford,BRE,12,1,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,52,J.Ramsey,MID,Aston Villa,AVL,0.3,0,0,0,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,198,Tuanzebe,DEF,Burnley,BUR,0.9,0,0,0,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,2569513,12,na,73,73,0,0,1,73,73,99.5,0.5,100,252,Marc Guiu,FWD,Sunderland,SUN,5.2,0,0,0,15,5,15,OUT,FALSE,0,FALSE,0,1,0
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,1,Raya,GKP,Arsenal,ARS,36.4,10,3,90,1,1,1,UNCH,FALSE,0,TRUE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,440,Dalot,DEF,Man Utd,MUN,3.8,1,0,54,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,319,Castagne,DEF,Fulham,FUL,0.2,1,0,6,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,507,Aina,DEF,Nott'm Forest,NFO,2.1,4,0,90,4,13,4,IN,FALSE,0,FALSE,1,0,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,6,Saliba,DEF,Arsenal,ARS,17.1,9,1,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,82,Semenyo,MID,Bournemouth,BOU,46.2,15,3,90,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,515,Gibbs-White,MID,Nott'm Forest,NFO,9.2,5,0,83,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,21,Rice,MID,Arsenal,ARS,23.3,6,0,82,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,449,Fernandes,MID,Man Utd,MUN,48,2,0,90,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,430,Haaland,FWD,Man City,MCI,62.5,13,3,72,10,10,10,UNCH,TRUE,1,FALSE,2,2,2
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,311,Beto,FWD,Everton,EVE,3.3,2,0,90,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,139,Verbruggen,GKP,Brighton,BHA,9.3,2,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,290,Branthwaite,DEF,Everton,EVE,0.3,0,0,0,13,4,13,OUT,FALSE,0,FALSE,0,1,0
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,47,Rogers,MID,Aston Villa,AVL,20.2,3,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
1,4259553,4,na,81,81,0,0,7,81,81,99.5,0.5,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,15,15,15,UNCH,FALSE,0,FALSE,0,0,0
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,220,Sanchez,GKP,Chelsea,CHE,10.3,8,1,90,1,1,1,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,38,Konsa,DEF,Aston Villa,AVL,7,3,0,65,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,610,W-Bissaka,DEF,West Ham,WHU,4.3,1,0,90,3,3,3,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,603,Diouf,DEF,West Ham,WHU,2.4,1,0,90,4,4,4,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,575,Van de Ven,DEF,Spurs,TOT,17.6,6,0,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,582,Kudus,MID,Spurs,TOT,9.1,10,1,84,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,160,Minteh,MID,Brighton,BHA,2.5,3,0,68,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,381,Salah,MID,Liverpool,LIV,15.2,8,1,90,9,9,9,UNCH,TRUE,1,FALSE,2,2,2
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,249,J.Pedro,FWD,Chelsea,CHE,34.8,2,0,72,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,430,Haaland,FWD,Man City,MCI,62.5,13,3,72,11,11,11,UNCH,FALSE,0,TRUE,1,1,1
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,101,Kelleher,GKP,Brentford,BRE,12,1,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,252,Marc Guiu,FWD,Sunderland,SUN,5.2,0,0,0,13,13,13,UNCH,FALSE,0,FALSE,0,0,0
1,5798417,25,na,66,66,0,0,9,66,66,100,0,100,242,D-Hall,MID,Everton,EVE,7.9,2,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
