playerid,playername,position,team,short_team,teamstrength,cost,total_points,goals_scored,assists,ep_next,ep_this,form,event_points,seasonminutes,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,positionid,firstname,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team_id,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,xG,xG90,defcon_pts
11,White,DEF,Arsenal,ARS,5,5.1,45,0,1,0.0,0.0,0.3,0,699,TRUE,FALSE,0,0,198869,0,0,-4,4,0,1,2,Benjamin,FALSE,Knee injury - Expected back 24 May,2026-05-11T00:00:10.901815Z,51,198869.jpg,3.8,FALSE,White,0.5,FALSE,NA,i,1,3,378865,0,434751,0,0.1,8.8,,241,2021-07-30,1997-10-08,FALSE,p198869,5,6,0,0,0,0,0,0,3,181,154.8,133.4,54.0,34.3,38,28,15,53,9,0.45,0.69,1.14,8.68,NA,,NA,,NA,,,https://www.arsenal.com/news/medical-update-ben-white?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,344,130,267,73,344,113,355,118,0.06,0,0.09,0.15,1.12,0.77,226,33,364,127,81,29,269,100,1.16,0.64,6.82,0.45,0.06,2
13,Clarke,DEF,Arsenal,ARS,5,3.7,0,0,0,1.0,1.0,0.0,0,0,TRUE,FALSE,NA,NA,563324,0,0,-3,3,0,0,2,Brayden,FALSE,,NA,37,563324.jpg,0.0,FALSE,Clarke,0.5,FALSE,NA,a,1,3,65565,0,85106,0,0.0,0.0,,NA,NA,NA,FALSE,p563324,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,529,186,510,185,478,180,532,186,0,0,0,0,0,0,838,267,380,133,540,186,279,105,0,0,0,0.00,0,0
14,Kacurri,DEF,Arsenal,ARS,5,3.9,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,588793,0,0,-1,1,0,0,2,Maldini,FALSE,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,FALSE,Kacurri,0.1,FALSE,NA,u,1,3,10218,0,22844,0,0.0,0.0,,NA,NA,NA,FALSE,p588793,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,577,210,563,209,532,205,580,210,0,0,0,0,0,0,798,232,441,167,588,210,501,180,0,0,0,0.00,0,0
15,Nichols,DEF,Arsenal,ARS,5,3.7,0,0,0,1.0,1.0,0.0,0,0,TRUE,FALSE,NA,NA,499167,0,0,-3,3,0,0,2,Josh,FALSE,,NA,37,499167.jpg,0.0,FALSE,Nichols,0.2,FALSE,NA,a,1,3,34995,0,35855,0,0.0,0.0,,241,2024-07-24,2006-07-26,FALSE,p499167,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,528,185,508,183,476,178,531,185,0,0,0,0,0,0,836,265,378,131,539,185,364,132,0,0,0,0.00,0,0
16,Saka,MID,Arsenal,ARS,5,10,157,7,10,7.0,5.0,4.0,0,2218,TRUE,FALSE,100,100,223340,0,0,0,0,0,3,3,Bukayo,FALSE,,2026-03-30T10:00:10.614078Z,100,223340.jpg,5.1,FALSE,Saka,11.6,FALSE,NA,a,1,3,5027975,0,5509494,0,0.4,15.7,,241,2018-11-28,2001-09-05,FALSE,p223340,12,16,0,0,0,2,0,0,18,570,627.0,847.6,828.0,230.6,28,116,40,184,25,7.57,7.16,14.73,15.57,2,,2,,1,,,,74,22,12,11,11,6,11,8,0.31,0,0.29,0.6,0.63,0.65,6,4,76,34,12,6,35,12,1.01,0.49,7.47,7.57,0.31,2
17,Odegaard,MID,Arsenal,ARS,5,7.8,74,1,7,3.5,3.3,2.3,0,1363,TRUE,FALSE,100,100,184029,0,0,-2,2,0,1,3,Martin,FALSE,,2026-05-01T14:00:09.623702Z,78,184029.jpg,3.1,FALSE,Ødegaard,1.7,FALSE,NA,a,1,3,409252,0,664528,0,0.3,9.5,,161,2021-08-20,1998-12-17,FALSE,p184029,6,13,0,0,0,0,0,0,5,306,311.8,564.4,168.0,104.4,13,70,19,102,16,1.25,3.65,4.90,16.20,4,,NA,,3,,,,238,100,44,38,218,117,138,75,0.08,0,0.24,0.32,1.07,0.86,19,13,165,75,187,73,156,50,1.06,0.4,6.74,1.25,0.08,2
18,Madueke,MID,Arsenal,ARS,5,6.8,72,3,1,2.2,5.0,4.0,11,1205,TRUE,FALSE,100,100,248857,0,0,-2,2,0,3,3,Noni,FALSE,,2026-04-16T13:00:09.580957Z,68,248857.jpg,2.8,FALSE,Madueke,0.8,FALSE,NA,a,1,3,391478,0,439154,0,0.6,10.6,,241,2025-07-18,2002-03-10,FALSE,p248857,8,9,0,0,0,0,0,0,9,254,257.4,352.8,404.0,101.3,14,35,21,70,16,1.23,2.86,4.09,12.77,3,,NA,,NA,,,,272,115,113,79,77,45,145,79,0.09,0,0.21,0.3,0.95,0.67,43,27,74,32,230,90,218,75,1.2,0.6,5.23,1.23,0.09,2
19,Martinelli,MID,Arsenal,ARS,5,6.8,57,1,5,1.2,3.7,2.7,7,1065,TRUE,FALSE,100,100,444145,0,0,-2,2,0,0,3,Gabriel,FALSE,,2025-12-24T02:30:10.584394Z,68,444145.jpg,1.9,FALSE,Martinelli Silva,0.9,FALSE,NA,a,1,3,203187,0,278367,0,0.4,8.4,Gabriel Martinelli,30,2019-07-15,2001-06-18,FALSE,p444145,2,8,0,0,0,3,0,0,3,195,204.6,202.2,390.0,79.0,13,52,12,77,11,4.12,1.27,5.39,10.51,NA,,NA,,NA,,,,308,131,204,135,82,49,209,99,0.35,0,0.11,0.46,0.89,0.68,44,28,146,65,372,161,208,72,0.93,0.17,6.51,4.12,0.35,2
20,Trossard,MID,Arsenal,ARS,5,6.6,119,6,6,5.5,4.7,3.7,0,1997,TRUE,FALSE,100,100,116216,0,0,-4,4,0,2,3,Leandro,FALSE,,2026-03-24T00:00:10.597737Z,66,116216.jpg,3.8,FALSE,Trossard,1.8,FALSE,NA,a,1,3,726467,0,554690,0,0.6,18.0,,21,2023-01-20,1994-12-04,FALSE,p116216,11,15,0,0,0,2,0,0,11,445,494.0,545.5,541.0,158.3,26,80,27,133,21,5.60,3.59,9.18,13.94,NA,,NA,,4,,,,134,45,47,41,48,27,51,35,0.25,0,0.16,0.41,0.63,0.68,47,30,94,42,85,41,144,46,0.95,0.5,5.99,5.60,0.25,2
21,Rice,MID,Arsenal,ARS,5,7.2,184,4,9,4.8,3.7,2.7,0,3093,TRUE,FALSE,100,100,204480,0,0,7,-7,0,5,3,Declan,TRUE,,2026-03-30T10:00:10.659246Z,72,204480.jpg,5.1,FALSE,Rice,23.3,FALSE,NA,a,1,3,7631940,0,5848117,0,0.4,25.6,,241,2023-07-15,1999-01-14,FALSE,p204480,18,25,0,0,0,3,0,0,23,790,827.2,1027.4,298.0,215.4,127,180,69,376,35,3.15,7.32,10.47,23.87,1,,1,,NA,,,,26,9,4,4,115,69,15,11,0.09,0,0.21,0.3,0.69,0.73,29,18,147,66,9,4,11,3,1.02,0.52,10.94,3.15,0.09,2
22,Merino,MID,Arsenal,ARS,5,5.3,67,4,3,0.8,1.0,0.3,1,1024,TRUE,FALSE,100,75,195384,0,0,-7,7,0,1,3,Mikel,FALSE,,2026-02-02T11:30:08.998402Z,53,195384.jpg,3.0,FALSE,Merino Zazón,0.7,FALSE,NA,a,1,3,836318,0,847590,0,0.1,12.6,,200,2024-08-27,1996-06-22,FALSE,p195384,4,10,0,0,0,1,0,0,5,236,304.4,191.8,244.0,73.6,30,57,26,113,10,3.36,1.45,4.81,7.36,NA,,NA,,NA,,,,242,102,215,143,143,78,225,108,0.3,0,0.13,0.43,0.65,0.88,181,114,367,167,199,78,228,79,0.88,0.35,9.93,3.36,0.3,2
23,Fabio Vieira,MID,Arsenal,ARS,5,5.4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,438098,0,0,-1,1,0,0,3,Fábio,FALSE,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,FALSE,Ferreira Vieira,0.0,FALSE,NA,u,1,3,933,0,4447,0,0.0,0.0,,173,2022-06-21,2000-05-30,FALSE,p438098,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,824,367,824,367,823,367,824,367,0,0,0,0,0,0,164,101,799,351,824,367,697,279,0,0,0,0.00,0,0
24,Norgaard,MID,Arsenal,ARS,5,5.1,7,0,0,1.0,1.3,0.3,1,101,TRUE,FALSE,100,100,128295,0,0,-4,4,0,0,3,Christian,FALSE,,2025-08-18T08:00:05.297235Z,51,128295.jpg,1.0,FALSE,Nørgaard,0.1,FALSE,NA,a,1,3,8660,0,61962,0,0.1,1.4,,58,2025-07-10,1994-03-10,FALSE,p128295,0,1,0,0,0,0,0,0,0,28,23.4,5.5,10.0,4.0,9,4,3,16,1,0.08,0.04,0.12,2.28,NA,,NA,,NA,,,,459,203,461,221,429,210,472,211,0.07,0,0.04,0.11,2.03,0.89,222,137,363,165,514,236,442,151,0.89,0,14.26,0.08,0.07,2
25,Nwaneri,MID,Arsenal,ARS,5,5,8,0,0,0.0,0.0,0.0,0,165,TRUE,FALSE,0,0,499175,0,0,-5,5,0,0,3,Ethan,FALSE,has joined Marseille on loan for the rest of the season.,2026-01-23T17:18:55.073277Z,50,499175.jpg,1.3,FALSE,Nwaneri,0.1,FALSE,NA,u,1,3,13149,0,37244,0,0.0,1.6,,241,2022-09-17,2007-03-21,FALSE,p499175,1,0,0,0,0,0,0,0,0,20,8.6,22.5,24.0,5.4,1,10,2,13,0,0.23,0.08,0.31,0.73,NA,,NA,,NA,,,,483,215,410,204,392,195,461,205,0.13,0,0.04,0.17,0.4,0,269,163,766,328,448,198,462,158,0,0.55,7.09,0.23,0.13,2
26,Zubimendi,MID,Arsenal,ARS,5,4.9,133,5,1,3.0,2.3,1.3,2,2991,TRUE,FALSE,100,100,481655,0,0,-6,6,0,1,3,Martín,FALSE,,2026-03-30T10:00:10.681664Z,49,481655.jpg,3.5,FALSE,Zubimendi Ibáñez,2.7,FALSE,NA,a,1,3,1383151,0,1353576,0,0.3,27.1,,200,2025-07-06,1999-02-02,FALSE,p481655,16,25,0,0,0,4,0,0,9,604,603.2,385.1,271.0,126.2,123,116,68,307,34,2.84,2.27,5.11,26.09,NA,,NA,,NA,,,,81,26,99,70,131,73,89,55,0.09,0,0.07,0.16,0.79,0.75,327,202,236,107,116,50,116,38,1.02,0.48,9.24,2.84,0.09,2
28,Kabia,MID,Arsenal,ARS,5,4.5,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,588796,0,0,0,0,0,0,3,Ismeal,FALSE,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,FALSE,Kabia,0.1,FALSE,NA,u,1,3,6731,0,30392,0,0.0,0.0,,152,2024-09-14,2005-12-10,FALSE,p588796,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,753,314,746,313,733,310,753,314,0,0,0,0,0,0,490,301,671,262,755,315,496,177,0,0,0,0.00,0,0
29,Sambi,MID,Arsenal,ARS,5,4.5,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,437742,0,0,0,0,0,0,3,Albert,FALSE,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,FALSE,Sambi Lokonga,0.0,FALSE,NA,u,1,3,2952,0,14151,0,0.0,0.0,,21,2021-07-19,1999-10-22,FALSE,p437742,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,708,274,704,276,687,270,710,276,0,0,0,0,0,0,433,256,622,220,714,279,593,222,0,0,0,0.00,0,0
30,Havertz,FWD,Arsenal,ARS,5,7.3,36,2,3,4.2,5.3,4.3,4,577,TRUE,FALSE,100,100,219847,0,0,-2,2,0,0,4,Kai,FALSE,,2026-04-25T22:30:09.266637Z,73,219847.jpg,3.0,FALSE,Havertz,0.7,FALSE,NA,a,1,3,197946,0,255689,0,0.6,4.9,,80,2023-06-28,1999-06-11,FALSE,p219847,4,4,0,0,0,1,0,0,3,143,152.6,134.6,210.0,49.9,10,14,8,32,7,3.31,0.64,3.95,6.68,NA,,NA,,NA,,,,346,35,265,31,173,40,305,35,0.52,0,0.1,0.62,1.04,0.62,24,10,60,10,202,22,238,36,1.09,0.62,4.99,3.31,0.52,2
31,Jesus,FWD,Arsenal,ARS,5,6.4,24,3,0,1.2,2.7,1.7,5,418,TRUE,FALSE,100,100,205651,0,0,-1,1,0,0,4,Gabriel,FALSE,,2025-07-21T10:00:04.697564Z,64,205651.jpg,1.7,FALSE,Fernando de Jesus,0.4,FALSE,NA,a,1,3,156814,0,134920,0,0.3,3.8,Gabriel Jesus,30,2022-07-04,1997-04-03,FALSE,p205651,1,6,0,0,0,3,0,0,0,92,141.8,54.3,281.0,47.5,7,19,4,30,3,2.71,0.26,2.97,3.97,NA,,NA,,NA,,,,355,39,363,45,127,34,315,38,0.58,0,0.06,0.64,0.85,1.29,57,21,218,24,407,47,301,48,0.65,0.22,6.46,2.71,0.58,2
266,Eze,MID,Arsenal,ARS,5,7.3,113,7,3,4.8,3.3,2.3,1,1885,TRUE,FALSE,100,100,232413,0,0,-2,2,0,3,3,Eberechi,FALSE,,2026-04-25T22:30:09.375724Z,73,232413.jpg,3.4,FALSE,Eze,8.7,FALSE,NA,a,1,3,3651571,0,3941829,0,0.3,15.5,,241,2025-08-23,1998-06-29,FALSE,p232413,11,14,0,0,0,1,0,0,8,439,393.4,305.7,455.0,115.1,22,79,19,120,22,5.18,2.66,7.84,14.21,NA,,NA,,NA,,,,187,73,143,95,60,34,108,60,0.25,0,0.13,0.38,0.68,0.67,26,15,164,74,141,61,48,17,1.05,0.53,5.73,5.18,0.25,2
662,Mosquera,DEF,Arsenal,ARS,5,5.3,40,0,0,2.8,4.3,3.3,4,986,TRUE,FALSE,100,100,500040,0,0,-2,2,0,0,2,Cristhian,FALSE,,2025-12-04T09:00:09.512338Z,53,500040.jpg,2.0,FALSE,Mosquera,0.3,FALSE,NA,a,1,3,72218,0,57288,0,0.6,7.5,,200,2025-07-24,2004-06-27,FALSE,p500040,3,8,0,0,0,4,0,0,1,195,219.2,88.7,20.0,32.9,63,35,32,95,9,0.10,0.63,0.73,9.04,NA,,NA,,NA,,,,295,117,307,100,405,145,359,121,0.01,0,0.06,0.07,0.83,0.73,199,26,105,32,357,132,324,118,0.82,0.27,8.67,0.10,0.01,2
666,Gyokeres,FWD,Arsenal,ARS,5,9.1,128,14,1,6.0,2.3,1.3,1,2217,TRUE,FALSE,100,100,224117,0,0,1,-1,0,4,4,Viktor,FALSE,,2025-11-01T18:00:08.847750Z,91,224117.jpg,3.6,FALSE,Gyökeres,16.4,FALSE,NA,a,1,3,4626668,0,5611221,0,0.1,14.1,,206,2025-07-26,1998-06-04,FALSE,p224117,12,14,0,0,0,5,0,0,16,474,539.6,271.7,772.0,157.5,23,55,7,85,26,12.26,1.94,14.19,17.81,NA,,NA,,2,,,,111,10,159,14,21,12,52,9,0.5,0,0.08,0.58,0.72,0.57,7,3,248,30,110,11,20,5,1.06,0.49,3.45,12.26,0.5,2
700,Dowman,MID,Arsenal,ARS,5,4.2,16,1,1,1.2,2.0,1.0,3,152,TRUE,FALSE,100,100,616077,0,0,-3,3,0,0,3,Max,FALSE,,2025-12-10T00:00:08.266774Z,42,616077.jpg,2.7,FALSE,Dowman,0.9,FALSE,NA,a,1,3,291075,0,193138,0,0.2,3.8,,241,2025-07-22,2009-12-31,FALSE,p616077,1,1,0,0,0,0,0,0,0,51,45.2,55.5,65.0,16.6,1,13,2,16,1,1.19,0.30,1.49,0.88,NA,,NA,,NA,,,,434,189,360,189,330,170,409,187,0.7,0,0.18,0.88,0.52,0.59,659,379,259,116,234,91,204,71,0.59,0.59,9.47,1.19,0.7,2
711,Harriman-Annous,MID,Arsenal,ARS,5,4.4,0,0,0,1.0,1.0,0.0,0,0,TRUE,FALSE,NA,NA,646243,0,0,-1,1,0,0,3,Andre,FALSE,,NA,44,646243.jpg,0.0,FALSE,Harriman-Annous,0.0,FALSE,NA,a,1,3,2098,0,1977,0,0.0,0.0,,241,2025-07-22,2007-12-28,FALSE,p646243,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,697,268,692,270,673,263,699,270,0,0,0,0,0,0,582,351,608,213,703,273,707,287,0,0,0,0.00,0,0
725,Hincapie,DEF,Arsenal,ARS,5,5.1,87,1,2,3.5,2.0,1.0,2,1787,TRUE,FALSE,100,100,448104,0,0,-4,4,0,3,2,Piero,FALSE,,2026-03-30T10:00:11.369303Z,51,448104.jpg,3.5,FALSE,Hincapié,0.9,FALSE,NA,a,1,3,625158,0,522735,0,0.2,17.1,,62,2025-09-01,2002-01-09,FALSE,p448104,5,19,1,0,0,2,0,0,7,335,453.6,184.7,72.0,70.9,123,63,48,171,20,0.36,1.67,2.03,17.53,NA,,NA,,NA,,,,150,63,221,55,321,103,235,80,0.02,0,0.08,0.1,0.88,0.96,233,36,268,98,118,45,212,82,1.01,0.25,8.61,0.36,0.02,2
759,Salmon,DEF,Arsenal,ARS,5,4,0,0,0,1.0,1.0,0.0,0,0,TRUE,FALSE,NA,NA,616065,0,0,0,0,0,0,2,Marli,FALSE,,NA,40,616065.jpg,0.0,FALSE,Salmon,0.0,FALSE,NA,a,1,3,1910,0,1535,0,0.0,0.0,,241,2025-07-22,2009-08-29,FALSE,p616065,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,636,245,628,244,598,241,639,245,0,0,0,0,0,0,746,205,511,208,646,244,664,235,0,0,0,0.00,0,0
